Feature,Importance
Product_M_PB_MT_,0.7121014
Min_age,0.09373615
Max_age,0.07126777
Preheader_num_words,0.022820525
Syfte_VLK,0.013760474
Subject_length,0.0105915
Dialog_LIV,0.009205089
Syfte_VRD_I,0.007525951
Bolag_Stockholm,0.0070350687
Preheader_length,0.0067724963
Product_P_60_,0.004765242
Dialog_BO,0.004434381
Dialog_FRD,0.0042785387
Subject_has_exclamation,0.0039122337
Bolag_Skåne,0.003010593
Product_P_,0.0022417281
Preheader_has_exclamation,0.002138775
Bolag_Östgöta,0.0017707302
Dialog_FNO,0.001650933
Product_B_B_,0.0015342989
Syfte_VRD,0.0013175867
Subject_has_question,0.0012384435
Bolag_Värmland,0.0012062944
Bolag_Dalarna,0.001165266
Bolag_Västerbotten,0.00094380055
Product_BO_BR_,0.00087961357
Bolag_Göinge-Kristianstad,0.000874907
Bolag_Blekinge,0.000797514
Bolag_Jönköping,0.0007019631
Product_B_S_,0.0006341788
Bolag_Gotland,0.0006316937
Bolag_Göteborg och Bohuslän,0.000589243
Subject_num_words,0.0005263168
Bolag_Uppsala,0.0004466049
Bolag_Skaraborg,0.0004298744
Dialog_BNK,0.00037333556
Syfte_VXA,0.0003597813
Bolag_Gävleborg,0.00034466825
Product_B_,0.00032144735
Bolag_Västernorrland,0.0002758269
Bolag_Jämtland,0.00023100141
Product_B_K_,0.0002015125
Bolag_Södermanland,0.00015610503
Bolag_Halland,0.00013044715
Bolag_Kronoberg,0.00012808917
Product_BO_VH_,8.31531e-05
Bolag_Övrigt,8.1558916e-05
Syfte_VXA_K,7.805717e-05
Bolag_Norrbotten,7.647777e-05
Syfte_VRD_S,6.886889e-05
Bolag_Sak,4.7713e-05
Bolag_Bergslagen,3.3997927e-05
Syfte_VXA_M,3.152227e-05
Product_M_PB_PR_,2.3435729e-05
Product_BO_,1.5841935e-05
Syfte_AVS_P,0.0
Bolag_Älvsborg,0.0
Preheader_has_question,0.0
Product_B_PL_,0.0
Product_M_PB_,0.0
Product_L_P_,0.0
Product_BO_HR_,0.0
Bolag_Kalmar,0.0
Product_P_OSV_,0.0
